MeSH Term,Score,Total Theme Term Publication,Total Theme Publication,Total Term Publication,Total Publication
Child,2.7561819776412005e-11,111,226,322,1046
"Amino Acids, Peptides, and Proteins",3.768114840666999e-11,20,226,253,1046
Reproductive Physiological Phenomena,8.39538136533328e-11,12,226,196,1046
Reproductive and Urinary Physiological Phenomena,1.6470746371974268e-10,13,226,200,1046
Pregnancy,3.9664885578323963e-10,11,226,182,1046
Reproduction,4.0347693100632463e-10,12,226,189,1046
Proteins,4.124382533714244e-09,18,226,218,1046
Wounds and Injuries,6.4496047636369935e-09,28,226,47,1046
Adolescent,1.650252424783126e-08,78,226,217,1046
Cells,4.0553873391432556e-08,6,226,124,1046
Quality of Health Care,4.7445955479686235e-08,107,226,339,1046
Accidents,3.5346700366606344e-07,15,226,20,1046
"Health Care Quality, Access, and Evaluation",5.484259854231448e-07,91,226,285,1046
Metabolism,7.02786116919661e-07,1,226,68,1046
Ear Diseases,9.038885918832005e-07,9,226,9,1046
Persons,1.0466300401749409e-06,177,226,685,1046
Membrane Proteins,1.3766745547717843e-06,2,226,75,1046
Mental Disorders,1.4082244813794681e-06,7,226,115,1046
"Emergency Service, Hospital",1.5997620335343045e-06,13,226,17,1046
Otorhinolaryngologic Diseases,1.6468068496858174e-06,10,226,11,1046
Female Urogenital Diseases and Pregnancy Complications,2.091667742725281e-06,10,226,134,1046
Age Groups,2.759827782727945e-06,173,226,671,1046
Information Science,5.154803086580381e-06,60,226,173,1046
Peptides,6.3260741083074035e-06,1,226,59,1046
Chemical Phenomena,7.078312672069394e-06,7,226,107,1046
"Specialties, Surgical",7.818752521117011e-06,10,226,12,1046
Health Occupations,1.057431791642797e-05,29,226,65,1046
Health Care Evaluation Mechanisms,1.5369001752466853e-05,74,226,234,1046
Cell Physiological Phenomena,1.655003578123642e-05,1,226,55,1046
Information Storage and Retrieval,2.596482692245805e-05,13,226,20,1046
"Databases, Factual",2.596482692245805e-05,13,226,20,1046
Muridae,2.759723937259444e-05,2,226,62,1046
Murinae,2.759723937259444e-05,2,226,62,1046
Rodentia,2.759723937259444e-05,2,226,62,1046
Health Services Administration,3.0524952487964634e-05,59,226,178,1046
Biochemical Phenomena,3.342970806018598e-05,7,226,99,1046
Hemic and Immune Systems,4.286503281175652e-05,1,226,51,1046
Hospital Departments,5.3633508586472585e-05,11,226,16,1046
