MeSH Term,Score,Total Theme Term Publication,Total Theme Publication,Total Term Publication,Total Publication
Child,2.0954640150651417e-10,78,178,222,894
Adolescent,5.5394420976561146e-09,68,178,193,894
Pregnancy,1.5056343825341748e-07,9,178,151,894
Wounds and Injuries,3.4459793374037082e-06,10,178,12,894
"Emergency Service, Hospital",1.5003943564731136e-05,9,178,11,894
Animals,2.162512693725032e-05,6,178,102,894
Adult,0.00031959160576539757,30,178,236,894
Gastroschisis,0.00032840830357049126,6,178,7,894
Emergency Medical Services,0.00032840830357049126,6,178,7,894
"Databases, Factual",0.0004579584196947845,8,178,12,894
Length of Stay,0.0007107705475870337,7,178,10,894
"Child, Preschool",0.0007762022187723523,41,178,137,894
Retrospective Studies,0.0008961362905497344,32,178,100,894
Mice,0.0009491295906183835,1,178,41,894
Mobility Limitation,0.0015293695852483537,4,178,4,894
Pharmacogenetics,0.0015293695852483537,4,178,4,894
Migraine Disorders,0.0015293695852483537,4,178,4,894
"Hospitals, Pediatric",0.0015765196280331179,7,178,11,894
Quality Improvement,0.0025600136873846937,6,178,9,894
Registries,0.002981000239501161,9,178,18,894
Genetic Testing,0.003050913635767828,7,178,12,894
Humans,0.004572295717045385,175,178,845,894
DNA Methylation,0.004856360090964665,1,178,33,894
Patient Safety,0.005156185760184426,6,178,10,894
Reconstructive Surgical Procedures,0.006151846196841692,4,178,5,894
Infant,0.007218528081428193,32,178,114,894
Anthracyclines,0.007786676002607332,3,178,3,894
Airway Management,0.007786676002607332,3,178,3,894
Cardiotoxicity,0.007786676002607332,3,178,3,894
Pharmacogenomic Testing,0.007786676002607332,3,178,3,894
Anesthesia,0.007786676002607332,3,178,3,894
Hearing Loss,0.007786676002607332,3,178,3,894
Slipped Capital Femoral Epiphyses,0.007786676002607332,3,178,3,894
Treatment Failure,0.007786676002607332,3,178,3,894
Gait,0.007786676002607332,3,178,3,894
Cisplatin,0.007786676002607332,3,178,3,894
Pharmacogenomic Variants,0.007786676002607332,3,178,3,894
Blood Pressure Determination,0.007786676002607332,3,178,3,894
Hip Joint,0.007786676002607332,3,178,3,894
Risk Factors,0.007882015969828024,20,178,63,894
